SECURITY_INNER_CODE,SECURITY_CODE,SECUCODE,TRADE_DATE,SECURITY_NAME_ABBR,SUPERDEAL_INFLOW,SUPERDEAL_OUTFLOW,PRIME_INFLOW,CLOSE_PRICE,CHANGE_RATE,TRADE_MARKET_CODE,TURNOVERRATE,PRIME_COST,PE_DYNAMIC,PRIME_COST_20DAYS,PRIME_COST_60DAYS,ORG_PARTICIPATE,PARTICIPATE_TYPE,BIGDEAL_INFLOW,BIGDEAL_OUTFLOW,BUY_SUPERDEAL_RATIO,BUY_BIGDEAL_RATIO,RATIO,RATIO_3DAYS,RATIO_50DAYS,TOTALSCORE,RANK_UP,RANK,FOCUS,SECURITY_TYPE_CODE
1000326734,300631,300631.SZ,2025-02-11 00:00:00,久吾高科,0,0,-4605173,21.47,-0.74,069001002002,0.8,21.727125257884,99.17,21.003373490426,22.900441268386,0.1440136,1,4870835,9476008,0,0.1321,0.1321,0.150433333333,0.164168,61.69070957,-600,2623,68.4,058001001
1000506155,300632,300632.SZ,2025-02-11 00:00:00,光莆股份,67570178,100170730,-7294946,16.14,11.93,069001002002,23.69,14.673467579581,51.52,12.239199105345,12.788784039447,0.3320952,2,228072704,202767098,0.0839,0.2832,0.3671,0.3518,0.215026,65.37106367,863,1589,77.6,058001001
1000576683,300633,300633.SZ,2025-02-11 00:00:00,开立医疗,0,11357709,433358,30.54,-2.08,069001002002,0.6,30.926224229577,90.94,28.513776083393,32.055196977099,0.248146,1,53516013,41724946,0,0.2545,0.2545,0.263433333333,0.20933,70.28200595,148,658,73.2,058001001
1000882983,300634,300634.SZ,2025-02-11 00:00:00,彩讯股份,960206784,648597056,164654192,34.21,-0.03,069001002002,14.18,32.709436318988,59.32,27.052885243421,25.061763060913,0.4574284,3,1097257952,1244213488,0.2386,0.2726,0.5112,0.4432,0.344342,78.09478753,-288,63,91.2,058001001
1000576669,300635,300635.SZ,2025-02-11 00:00:00,中达安,2845173,2816962,-5284794,10.1,-0.69,069001002002,1.81,10.152964262752,473.29,9.556304349423,11.33682591763,0.1738464,1,2150944,7463949,0.0751,0.0568,0.1319,0.230966666667,0.193032,53.58274483,1818,4608,63.2,058001001
1000576671,300636,300636.SZ,2025-02-11 00:00:00,同和药业,0,0,209673,7.97,-0.62,069001002002,0.5,8.005563721683,26.32,7.842345194973,8.429556378223,0.2182648,1,6324530,6114857,0,0.2116,0.2116,0.2455,0.194074,62.70054449,-412,2344,65.2,058001001
1000576672,300637,300637.SZ,2025-02-11 00:00:00,扬帆新材,0,0,-2319353,9.44,-0.74,069001002002,1.39,9.516018775802,-61.34,9.081539672873,10.755565863719,0.142596,1,6460465,8779818,0,0.1347,0.1347,0.151833333333,0.14848,50.87266401,17,4950,67.2,058001001
1000506161,300638,300638.SZ,2025-02-11 00:00:00,广和通,1105123504,1110748944,-3231184,38.32,4.7,069001002002,15.03,38.081450935435,33.75,28.844313076069,24.532460486879,0.448228,3,1491542256,1489148000,0.2016,0.2722,0.4738,0.445566666667,0.38829,76.58892716,-234,112,90.8,058001001
1000506171,300639,300639.SZ,2025-02-11 00:00:00,凯普生物,0,4472120,-4723945,5.96,-1.0,069001002002,0.97,6.16998275276,-11.03,5.899954858949,6.537325387988,0.2086032,1,20614998,20866823,0,0.2026,0.2026,0.220733333333,0.205416,54.18551099,882,4518,68,058001001
1000673358,300640,300640.SZ,2025-02-11 00:00:00,德艺文创,3883397,1168200,10357080,6.35,-2.91,069001002002,7.76,6.317754018101,131.8,6.102991564556,6.750779398929,0.250924,2,58017879,50375996,0.0163,0.2433,0.2596,0.252766666667,0.22647,67.53374524,-3381,1106,60,058001001
1000614640,300641,300641.SZ,2025-02-11 00:00:00,正丹股份,43315914,49204880,-47187789,25.88,-0.04,069001002002,1.59,26.020845028863,12.53,27.15326475822,25.785427406119,0.3281704,2,170470710,211769533,0.0672,0.2643,0.3315,0.337933333333,0.305202,65.27618184,-712,1614,83.2,058001001
1000614656,300642,300642.SZ,2025-02-11 00:00:00,透景生命,0,0,-9181813,14.68,-0.14,069001002002,1.79,14.810112093091,73.58,14.080520286998,15.795913316348,0.145316,1,7468769,16650582,0,0.1267,0.1267,0.1773,0.14388,58.17129846,2139,3641,65.6,058001001
1000607565,300643,300643.SZ,2025-02-11 00:00:00,万通智控,0,0,-1924127,12.65,-0.08,069001002002,0.69,12.679504066277,25.84,11.981548556293,13.003895122442,0.125908,1,4212927,6137054,0,0.1263,0.1263,0.122533333333,0.12999,61.94694509,-36,2563,68.4,058001001
1001002449,300644,300644.SZ,2025-02-11 00:00:00,南京聚隆,75075,2238985,-5594815,23.3,1.88,069001002002,3.68,22.678980058213,34.19,22.074625051902,24.160518633791,0.1787432,1,11350364,14781269,0.001,0.1558,0.1568,0.185133333333,0.224016,58.20985602,-479,3631,65.6,058001001
1000506178,300645,300645.SZ,2025-02-11 00:00:00,正元智慧,5356291,4825322,-6005579,17.02,3.21,069001002002,6.33,16.395648612707,180.69,14.746040305801,16.367768422913,0.1815472,1,24911834,31448382,0.0342,0.1592,0.1934,0.1827,0.150186,63.04158454,950,2254,70,058001001
1000463588,300647,300647.SZ,2025-02-11 00:00:00,超频三,4049862,1318912,-18199063,6.42,0.31,069001002002,2.23,6.440409276913,-47.03,6.379626782568,7.154011031783,0.1823068,1,12921843,33851856,0.0375,0.1195,0.157,0.198866666667,0.220734,45.49115636,10,5126,68,058001001
1000602807,300648,300648.SZ,2025-02-11 00:00:00,星云股份,337440,2314565,-2528629,22.59,-1.35,069001002002,1.53,22.84005192053,-52.9,21.897540433569,25.810316524847,0.1616948,1,5625952,6177456,0.0078,0.1305,0.1383,0.166566666667,0.212874,55.99858462,121,4172,70.8,058001001
1000614631,300649,300649.SZ,2025-02-11 00:00:00,杭州园林,437015,0,4628900,11.78,1.64,069001002002,4.03,11.686054760613,-70.52,10.684100943426,12.269964135148,0.1820376,1,14758840,10566955,0.0057,0.1923,0.198,0.1807,0.144138,57.30535423,-301,3858,65.2,058001001
1000607559,300650,300650.SZ,2025-02-11 00:00:00,太龙股份,1671696,0,-3555593,12.17,-0.57,069001002002,1.52,12.228729601606,57.06,11.610089067308,12.372757756168,0.1655184,1,4685382,9912671,0.0341,0.0956,0.1297,0.202433333333,0.199692,58.68308601,-456,3490,65.2,058001001
1000614633,300651,300651.SZ,2025-02-11 00:00:00,金陵体育,0,0,-5989934,13.48,-0.59,069001002002,2.53,13.581355702819,59.76,12.917610813608,14.543951240005,0.1306768,1,4686961,10676895,0,0.0805,0.0805,0.1902,0.166834,55.3740252,-618,4288,68.8,058001001
